date,site,value
2023-08-01T00:00:00,ARG Tanah Putih,99
2023-09-01T00:00:00,ARG Tanah Putih,100
2023-10-01T00:00:00,ARG Tanah Putih,100
2023-11-01T00:00:00,ARG Tanah Putih,100
2023-12-01T00:00:00,ARG Tanah Putih,100
2024-01-01T00:00:00,ARG Tanah Putih,100
2024-02-01T00:00:00,ARG Tanah Putih,100
2024-03-01T00:00:00,ARG Tanah Putih,100
2024-04-01T00:00:00,ARG Tanah Putih,100
2024-05-01T00:00:00,ARG Tanah Putih,100
2024-06-01T00:00:00,ARG Tanah Putih,100
2024-07-01T00:00:00,ARG Tanah Putih,100
2024-08-01T00:00:00,ARG Tanah Putih,100
2024-09-01T00:00:00,ARG Tanah Putih,100
2024-10-01T00:00:00,ARG Tanah Putih,96
2024-11-01T00:00:00,ARG Tanah Putih,100
2024-12-01T00:00:00,ARG Tanah Putih,100
2025-01-01T00:00:00,ARG Tanah Putih,100
2025-02-01T00:00:00,ARG Tanah Putih,99
2025-03-01T00:00:00,ARG Tanah Putih,100
2025-04-01T00:00:00,ARG Tanah Putih,99
2025-05-01T00:00:00,ARG Tanah Putih,100
2025-06-01T00:00:00,ARG Tanah Putih,100
2025-07-01T00:00:00,ARG Tanah Putih,100
2025-08-01T00:00:00,ARG Tanah Putih,100
2025-09-01T00:00:00,ARG Tanah Putih,100
2025-10-01T00:00:00,ARG Tanah Putih,56
2025-11-01T00:00:00,ARG Tanah Putih,0
2025-12-01T00:00:00,ARG Tanah Putih,0
2026-01-01T00:00:00,ARG Tanah Putih,0
2021-02-01T00:00:00,ARG Bantan,49
2021-03-01T00:00:00,ARG Bantan,79
2021-04-01T00:00:00,ARG Bantan,100
2021-05-01T00:00:00,ARG Bantan,96
2021-06-01T00:00:00,ARG Bantan,94
2021-07-01T00:00:00,ARG Bantan,91
2021-08-01T00:00:00,ARG Bantan,21
2021-09-01T00:00:00,ARG Bantan,0
2021-10-01T00:00:00,ARG Bantan,35
2021-11-01T00:00:00,ARG Bantan,21
2021-12-01T00:00:00,ARG Bantan,17
2022-01-01T00:00:00,ARG Bantan,5
2022-02-01T00:00:00,ARG Bantan,0
2022-03-01T00:00:00,ARG Bantan,33
2022-04-01T00:00:00,ARG Bantan,45
2022-05-01T00:00:00,ARG Bantan,99
2022-06-01T00:00:00,ARG Bantan,100
2022-07-01T00:00:00,ARG Bantan,100
2022-08-01T00:00:00,ARG Bantan,100
2022-09-01T00:00:00,ARG Bantan,100
2022-10-01T00:00:00,ARG Bantan,100
2022-11-01T00:00:00,ARG Bantan,100
2022-12-01T00:00:00,ARG Bantan,98
2023-01-01T00:00:00,ARG Bantan,99
2023-02-01T00:00:00,ARG Bantan,100
2023-03-01T00:00:00,ARG Bantan,96
2023-04-01T00:00:00,ARG Bantan,99
2023-05-01T00:00:00,ARG Bantan,95
2023-06-01T00:00:00,ARG Bantan,99
2023-07-01T00:00:00,ARG Bantan,99
2023-08-01T00:00:00,ARG Bantan,99
2023-09-01T00:00:00,ARG Bantan,91
2023-10-01T00:00:00,ARG Bantan,100
2023-11-01T00:00:00,ARG Bantan,94
2023-12-01T00:00:00,ARG Bantan,84
2024-01-01T00:00:00,ARG Bantan,100
2024-02-01T00:00:00,ARG Bantan,100
2024-03-01T00:00:00,ARG Bantan,100
2024-04-01T00:00:00,ARG Bantan,100
2024-05-01T00:00:00,ARG Bantan,100
2024-06-01T00:00:00,ARG Bantan,100
2024-07-01T00:00:00,ARG Bantan,100
2024-08-01T00:00:00,ARG Bantan,100
2024-09-01T00:00:00,ARG Bantan,100
2024-10-01T00:00:00,ARG Bantan,96
2024-11-01T00:00:00,ARG Bantan,100
2024-12-01T00:00:00,ARG Bantan,96
2025-01-01T00:00:00,ARG Bantan,98
2025-02-01T00:00:00,ARG Bantan,97
2025-03-01T00:00:00,ARG Bantan,100
2025-04-01T00:00:00,ARG Bantan,100
2025-05-01T00:00:00,ARG Bantan,100
2025-06-01T00:00:00,ARG Bantan,100
2025-07-01T00:00:00,ARG Bantan,100
2025-08-01T00:00:00,ARG Bantan,100
2025-09-01T00:00:00,ARG Bantan,100
2025-10-01T00:00:00,ARG Bantan,100
2025-11-01T00:00:00,ARG Bantan,0
2025-12-01T00:00:00,ARG Bantan,0
2026-01-01T00:00:00,ARG Bantan,0
2021-02-01T00:00:00,ARG Siak,100
2021-03-01T00:00:00,ARG Siak,100
2021-04-01T00:00:00,ARG Siak,89
2021-05-01T00:00:00,ARG Siak,100
2021-06-01T00:00:00,ARG Siak,100
2021-07-01T00:00:00,ARG Siak,93
2021-08-01T00:00:00,ARG Siak,86
2021-09-01T00:00:00,ARG Siak,99
2021-10-01T00:00:00,ARG Siak,99
2021-11-01T00:00:00,ARG Siak,99
2021-12-01T00:00:00,ARG Siak,100
2022-01-01T00:00:00,ARG Siak,90
2022-02-01T00:00:00,ARG Siak,62
2022-03-01T00:00:00,ARG Siak,34
2022-04-01T00:00:00,ARG Siak,99
2022-05-01T00:00:00,ARG Siak,99
2022-06-01T00:00:00,ARG Siak,99
2022-07-01T00:00:00,ARG Siak,98
2022-08-01T00:00:00,ARG Siak,99
2022-09-01T00:00:00,ARG Siak,99
2022-10-01T00:00:00,ARG Siak,99
2022-11-01T00:00:00,ARG Siak,100
2022-12-01T00:00:00,ARG Siak,99
2023-01-01T00:00:00,ARG Siak,99
2023-02-01T00:00:00,ARG Siak,98
2023-03-01T00:00:00,ARG Siak,89
2023-04-01T00:00:00,ARG Siak,100
2023-05-01T00:00:00,ARG Siak,99
2023-06-01T00:00:00,ARG Siak,100
2023-07-01T00:00:00,ARG Siak,99
2023-08-01T00:00:00,ARG Siak,95
2023-09-01T00:00:00,ARG Siak,98
2023-10-01T00:00:00,ARG Siak,99
2023-11-01T00:00:00,ARG Siak,100
2023-12-01T00:00:00,ARG Siak,99
2024-01-01T00:00:00,ARG Siak,95
2024-02-01T00:00:00,ARG Siak,99
2024-03-01T00:00:00,ARG Siak,100
2024-04-01T00:00:00,ARG Siak,99
2024-05-01T00:00:00,ARG Siak,100
2024-06-01T00:00:00,ARG Siak,100
2024-07-01T00:00:00,ARG Siak,98
2024-08-01T00:00:00,ARG Siak,100
2024-09-01T00:00:00,ARG Siak,87
2024-10-01T00:00:00,ARG Siak,30
2024-11-01T00:00:00,ARG Siak,95
2024-12-01T00:00:00,ARG Siak,100
2025-01-01T00:00:00,ARG Siak,99
2025-02-01T00:00:00,ARG Siak,100
2025-03-01T00:00:00,ARG Siak,99
2025-04-01T00:00:00,ARG Siak,79
2025-05-01T00:00:00,ARG Siak,100
2025-06-01T00:00:00,ARG Siak,100
2025-07-01T00:00:00,ARG Siak,100
2025-08-01T00:00:00,ARG Siak,100
2025-09-01T00:00:00,ARG Siak,100
2025-10-01T00:00:00,ARG Siak,100
2025-11-01T00:00:00,ARG Siak,0
2025-12-01T00:00:00,ARG Siak,0
2026-01-01T00:00:00,ARG Siak,0
2021-02-01T00:00:00,ARG Kuantan Tengah,33
2021-03-01T00:00:00,ARG Kuantan Tengah,79
2021-04-01T00:00:00,ARG Kuantan Tengah,55
2021-05-01T00:00:00,ARG Kuantan Tengah,77
2021-06-01T00:00:00,ARG Kuantan Tengah,72
2021-07-01T00:00:00,ARG Kuantan Tengah,88
2021-08-01T00:00:00,ARG Kuantan Tengah,84
2021-09-01T00:00:00,ARG Kuantan Tengah,97
2021-10-01T00:00:00,ARG Kuantan Tengah,95
2021-11-01T00:00:00,ARG Kuantan Tengah,97
2021-12-01T00:00:00,ARG Kuantan Tengah,97
2022-01-01T00:00:00,ARG Kuantan Tengah,89
2022-02-01T00:00:00,ARG Kuantan Tengah,98
2022-03-01T00:00:00,ARG Kuantan Tengah,98
2022-04-01T00:00:00,ARG Kuantan Tengah,89
2022-05-01T00:00:00,ARG Kuantan Tengah,98
2022-06-01T00:00:00,ARG Kuantan Tengah,74
2022-07-01T00:00:00,ARG Kuantan Tengah,37
2022-08-01T00:00:00,ARG Kuantan Tengah,0
2022-09-01T00:00:00,ARG Kuantan Tengah,77
2022-10-01T00:00:00,ARG Kuantan Tengah,68
2022-11-01T00:00:00,ARG Kuantan Tengah,56
2022-12-01T00:00:00,ARG Kuantan Tengah,54
2023-01-01T00:00:00,ARG Kuantan Tengah,19
2023-02-01T00:00:00,ARG Kuantan Tengah,14
2023-03-01T00:00:00,ARG Kuantan Tengah,15
2023-04-01T00:00:00,ARG Kuantan Tengah,53
2023-05-01T00:00:00,ARG Kuantan Tengah,55
2023-06-01T00:00:00,ARG Kuantan Tengah,59
2023-07-01T00:00:00,ARG Kuantan Tengah,66
2023-08-01T00:00:00,ARG Kuantan Tengah,63
2023-09-01T00:00:00,ARG Kuantan Tengah,67
2023-10-01T00:00:00,ARG Kuantan Tengah,68
2023-11-01T00:00:00,ARG Kuantan Tengah,68
2023-12-01T00:00:00,ARG Kuantan Tengah,87
2024-01-01T00:00:00,ARG Kuantan Tengah,90
2024-02-01T00:00:00,ARG Kuantan Tengah,99
2024-03-01T00:00:00,ARG Kuantan Tengah,98
2024-04-01T00:00:00,ARG Kuantan Tengah,72
2024-05-01T00:00:00,ARG Kuantan Tengah,99
2024-06-01T00:00:00,ARG Kuantan Tengah,99
2024-07-01T00:00:00,ARG Kuantan Tengah,99
